freq,nrg_bal,siec,unit,geo,time,value,dataset
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Euro area - 19 countries  (2015-2022),2022,,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Euro area - 19 countries  (2015-2022),2023,,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Euro area - 19 countries  (2015-2022),2024,,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Belgium,2013,34011.623,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Belgium,2014,31552.075,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Belgium,2015,33134.556,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Belgium,2016,33384.527,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Belgium,2017,32929.156,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Belgium,2018,33138.244,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Belgium,2019,32438.375,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Belgium,2020,31155.401,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Belgium,2021,33307.465,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Belgium,2022,30522.671,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Belgium,2023,30043.254,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Belgium,2024,30741.348,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Bulgaria,2013,8680.757,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Bulgaria,2014,8881.501,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Bulgaria,2015,9388.553,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Bulgaria,2016,9517.949,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Bulgaria,2017,9745.903,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Bulgaria,2018,9757.67,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Bulgaria,2019,9719.6,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Bulgaria,2020,9499.659,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Bulgaria,2021,10165.77,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Bulgaria,2022,9856.902,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Bulgaria,2023,9607.139,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Bulgaria,2024,9845.891,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Czechia,2013,23131.377,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Czechia,2014,22445.593,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Czechia,2015,23100.094,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Czechia,2016,23695.026,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Czechia,2017,24445.396,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Czechia,2018,24190.964,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Czechia,2019,24227.514,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Czechia,2020,23765.017,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Czechia,2021,25296.928,energy_consumption
