freq,nrg_bal,siec,unit,geo,time,value
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Denmark,2017-01-01,13999.863
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Denmark,2018-01-01,13971.01
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Denmark,2019-01-01,13725.14
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Denmark,2020-01-01,13233.152
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Denmark,2021-01-01,13930.625
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Denmark,2022-01-01,13024.947
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Denmark,2023-01-01,12957.952
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Denmark,2024-01-01,12665.8
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Germany,2013-01-01,208057.421
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Germany,2014-01-01,197229.019
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Germany,2015-01-01,200031.296
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Germany,2016-01-01,203666.981
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Germany,2017-01-01,204512.293
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Germany,2018-01-01,200684.593
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Germany,2019-01-01,200804.342
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Germany,2020-01-01,194248.055
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Germany,2021-01-01,197419.082
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Germany,2022-01-01,189698.421
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Germany,2023-01-01,179048.225
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Germany,2024-01-01,177745.064
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Estonia,2013-01-01,2840.316
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Estonia,2014-01-01,2774.349
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Estonia,2015-01-01,2750.345
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Estonia,2016-01-01,2794.835
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Estonia,2017-01-01,2807.413
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Estonia,2018-01-01,2888.098
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Estonia,2019-01-01,2826.061
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Estonia,2020-01-01,2725.496
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Estonia,2021-01-01,2789.658
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Estonia,2022-01-01,2720.738
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Estonia,2023-01-01,2565.334
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Estonia,2024-01-01,3014.924
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Ireland,2013-01-01,10234.498
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Ireland,2014-01-01,10176.021
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Ireland,2015-01-01,10497.166
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Ireland,2016-01-01,10902.445
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Ireland,2017-01-01,10850.673
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Ireland,2018-01-01,11310.582
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Ireland,2019-01-01,11292.038
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Ireland,2020-01-01,10827.14
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Ireland,2021-01-01,11020.03
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Ireland,2022-01-01,10961.758
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Ireland,2023-01-01,10927.583
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Ireland,2024-01-01,11228.741
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Greece,2013-01-01,14668.337
